geometry,id,S_US_Inundation_Ar,S_DS_Inundation_Ar,S_Lev_Inundation_Ar,S_Inc_Flood_Scen_Ar,dist_to_S_Levee_Ln,dist_to_S_RM_Dams_Pt,elevation_m,longitude,latitude
POINT (-77.84199999999943 34.19),118,False,False,False,False,1000000.0,1000000.0,0,-77.84199999999943,34.19
POINT (-77.84099999999943 34.19),119,False,False,False,False,1000000.0,1000000.0,0,-77.84099999999943,34.19
POINT (-77.96 34.190999999999995),120,False,False,False,False,1000000.0,1000000.0,0,-77.96,34.190999999999995
POINT (-77.95899999999999 34.190999999999995),121,False,False,False,False,1000000.0,1000000.0,0,-77.95899999999999,34.190999999999995
POINT (-77.95799999999998 34.190999999999995),122,False,False,False,False,1000000.0,1000000.0,0,-77.95799999999998,34.190999999999995
POINT (-77.95699999999998 34.190999999999995),123,False,False,False,False,1000000.0,1000000.0,0,-77.95699999999998,34.190999999999995
POINT (-77.95599999999997 34.190999999999995),124,False,False,False,False,1000000.0,1000000.0,0,-77.95599999999997,34.190999999999995
POINT (-77.95499999999997 34.190999999999995),125,False,False,False,False,1000000.0,1000000.0,0,-77.95499999999997,34.190999999999995
POINT (-77.95399999999997 34.190999999999995),126,False,False,False,False,1000000.0,1000000.0,0,-77.95399999999997,34.190999999999995
POINT (-77.95299999999996 34.190999999999995),127,False,False,False,True,1000000.0,1000000.0,0,-77.95299999999996,34.190999999999995
POINT (-77.95199999999996 34.190999999999995),128,False,False,False,False,1000000.0,1000000.0,0,-77.95199999999996,34.190999999999995
POINT (-77.95099999999995 34.190999999999995),129,False,False,False,False,1000000.0,1000000.0,0,-77.95099999999995,34.190999999999995
POINT (-77.94999999999995 34.190999999999995),130,False,False,False,False,1000000.0,1000000.0,0,-77.94999999999995,34.190999999999995
POINT (-77.94899999999994 34.190999999999995),131,False,False,False,False,1000000.0,1000000.0,0,-77.94899999999994,34.190999999999995
POINT (-77.94799999999994 34.190999999999995),132,False,False,False,False,1000000.0,1000000.0,0,-77.94799999999994,34.190999999999995
POINT (-77.94699999999993 34.190999999999995),133,False,False,False,False,1000000.0,1000000.0,0,-77.94699999999993,34.190999999999995
POINT (-77.94599999999993 34.190999999999995),134,False,False,False,False,1000000.0,1000000.0,0,-77.94599999999993,34.190999999999995
POINT (-77.94499999999992 34.190999999999995),135,False,False,False,False,1000000.0,1000000.0,0,-77.94499999999992,34.190999999999995
POINT (-77.94399999999992 34.190999999999995),136,False,False,False,False,1000000.0,1000000.0,0,-77.94399999999992,34.190999999999995
POINT (-77.94299999999991 34.190999999999995),137,False,False,False,False,1000000.0,1000000.0,0,-77.94299999999991,34.190999999999995
POINT (-77.94199999999991 34.190999999999995),138,False,False,False,False,1000000.0,1000000.0,0,-77.94199999999991,34.190999999999995
POINT (-77.9409999999999 34.190999999999995),139,False,False,False,False,1000000.0,1000000.0,0,-77.9409999999999,34.190999999999995
POINT (-77.9399999999999 34.190999999999995),140,False,False,False,False,1000000.0,1000000.0,0,-77.9399999999999,34.190999999999995
POINT (-77.9389999999999 34.190999999999995),141,False,False,False,False,1000000.0,1000000.0,0,-77.9389999999999,34.190999999999995
POINT (-77.93799999999989 34.190999999999995),142,False,False,False,False,1000000.0,1000000.0,0,-77.93799999999989,34.190999999999995
POINT (-77.93699999999988 34.190999999999995),143,False,False,False,False,1000000.0,1000000.0,0,-77.93699999999988,34.190999999999995
POINT (-77.93599999999988 34.190999999999995),144,False,False,False,False,1000000.0,1000000.0,0,-77.93599999999988,34.190999999999995
POINT (-77.93499999999987 34.190999999999995),145,False,False,False,False,1000000.0,1000000.0,0,-77.93499999999987,34.190999999999995
POINT (-77.93399999999987 34.190999999999995),146,False,False,False,False,1000000.0,1000000.0,0,-77.93399999999987,34.190999999999995
POINT (-77.93299999999986 34.190999999999995),147,False,False,False,False,1000000.0,1000000.0,0,-77.93299999999986,34.190999999999995
POINT (-77.93199999999986 34.190999999999995),148,False,False,False,False,1000000.0,1000000.0,0,-77.93199999999986,34.190999999999995
POINT (-77.93099999999986 34.190999999999995),149,False,False,False,False,1000000.0,1000000.0,0,-77.93099999999986,34.190999999999995
POINT (-77.92999999999985 34.190999999999995),150,False,False,False,False,1000000.0,1000000.0,0,-77.92999999999985,34.190999999999995
POINT (-77.92899999999985 34.190999999999995),151,False,False,False,False,1000000.0,1000000.0,0,-77.92899999999985,34.190999999999995
POINT (-77.92799999999984 34.190999999999995),152,False,False,False,False,1000000.0,1000000.0,0,-77.92799999999984,34.190999999999995
POINT (-77.92699999999984 34.190999999999995),153,False,False,False,False,1000000.0,1000000.0,0,-77.92699999999984,34.190999999999995
